Name,Race_Location,Starting_Position,Finishing_Position,Status
alonso,Malaysian Grand Prix,18,18,no,
alonso,Chinese Grand Prix,18,12,yes,
alonso,Bahrain Grand Prix,14,11,yes,
alonso,Spanish Grand Prix,13,20,no,
alonso,Monaco Grand Prix,13,19,no,
alonso,Canadian Grand Prix,13,20,no,
alonso,Austrian Grand Prix,19,20,no,
alonso,British Grand Prix,17,10,yes,
alonso,Hungarian Grand Prix,15,5,yes,
alonso,Belgian Grand Prix,20,13,yes,
alonso,Italian Grand Prix,16,18,yes,
alonso,Singapore Grand Prix,12,17,no,
alonso,Japanese Grand Prix,12,11,yes,
alonso,Russian Grand Prix,19,11,yes,
alonso,United States Grand Prix,9,11,yes,
alonso,Mexican Grand Prix,18,20,no,
alonso,Brazilian Grand Prix,20,15,yes,
alonso,Abu Dhabi Grand Prix,16,17,yes,
bottas,Australian Grand Prix,0,18,no,
bottas,Malaysian Grand Prix,8,5,yes,
bottas,Chinese Grand Prix,5,6,yes,
bottas,Bahrain Grand Prix,5,4,yes,
bottas,Spanish Grand Prix,4,4,yes,
bottas,Monaco Grand Prix,16,14,yes,
bottas,Canadian Grand Prix,4,3,yes,
bottas,Austrian Grand Prix,6,5,yes,
bottas,British Grand Prix,4,5,yes,
bottas,Hungarian Grand Prix,6,13,yes,
bottas,Belgian Grand Prix,3,9,no,
bottas,Italian Grand Prix,6,4,yes,
bottas,Singapore Grand Prix,7,5,yes,
bottas,Japanese Grand Prix,3,5,yes,
bottas,Russian Grand Prix,3,12,no,
bottas,United States Grand Prix,16,19,no,
bottas,Mexican Grand Prix,6,3,yes,
bottas,Brazilian Grand Prix,7,5,yes,
bottas,Abu Dhabi Grand Prix,6,13,yes,
button,Australian Grand Prix,16,11,yes,
button,Malaysian Grand Prix,17,17,no,
button,Chinese Grand Prix,17,14,yes,
button,Bahrain Grand Prix,20,20,no,
button,Spanish Grand Prix,14,16,yes,
button,Monaco Grand Prix,10,8,yes,
button,Canadian Grand Prix,20,19,no,
button,Austrian Grand Prix,20,17,no,
button,British Grand Prix,18,19,no,
button,Hungarian Grand Prix,16,9,yes,
button,Belgian Grand Prix,19,14,yes,
button,Italian Grand Prix,15,14,yes,
button,Singapore Grand Prix,15,16,no,
button,Japanese Grand Prix,14,16,yes,
button,Russian Grand Prix,13,9,yes,
button,United States Grand Prix,11,6,yes,
button,Mexican Grand Prix,20,14,yes,
button,Brazilian Grand Prix,16,14,yes,
button,Abu Dhabi Grand Prix,12,12,yes,
ericsson,Australian Grand Prix,15,8,yes,
ericsson,Malaysian Grand Prix,9,19,no,
ericsson,Chinese Grand Prix,10,10,yes,
ericsson,Bahrain Grand Prix,13,14,yes,
ericsson,Spanish Grand Prix,16,14,yes,
ericsson,Monaco Grand Prix,17,13,yes,
ericsson,Canadian Grand Prix,12,14,yes,
ericsson,Austrian Grand Prix,11,13,yes,
ericsson,British Grand Prix,15,11,yes,
ericsson,Hungarian Grand Prix,17,10,yes,
ericsson,Belgian Grand Prix,13,10,yes,
ericsson,Italian Grand Prix,12,9,yes,
ericsson,Singapore Grand Prix,17,11,yes,
ericsson,Japanese Grand Prix,15,14,yes,
ericsson,Russian Grand Prix,17,20,no,
ericsson,United States Grand Prix,14,15,no,
ericsson,Mexican Grand Prix,14,12,yes,
ericsson,Brazilian Grand Prix,12,16,yes,
ericsson,Abu Dhabi Grand Prix,17,14,yes,
grosjean,Australian Grand Prix,8,14,no,
grosjean,Malaysian Grand Prix,10,11,yes,
grosjean,Chinese Grand Prix,8,7,yes,
grosjean,Bahrain Grand Prix,10,7,yes,
